,Open,High,Low,Close,Volume
2025-06-10 04:00:00,597.1853,598.0577,597.1853,597.4495,3865
2025-06-10 04:01:00,597.4794,597.4794,597.3797,597.4495,971
2025-06-10 04:02:00,597.4096,597.4694,597.3398,597.4694,360
2025-06-10 04:03:00,597.4295,597.4794,597.2999,597.2999,526
2025-06-10 04:04:00,597.3199,597.3498,597.27,597.3298,429
2025-06-10 04:05:00,597.3298,597.4295,597.3298,597.4295,201
2025-06-10 04:06:00,597.4794,597.5193,597.3598,597.4196,866
2025-06-10 04:07:00,597.4694,597.5592,597.4694,597.5592,82
2025-06-10 04:08:00,597.5293,597.5691,597.4794,597.4794,62
2025-06-10 04:09:00,597.4196,597.4794,597.3996,597.4794,838
2025-06-10 04:10:00,597.4595,597.5891,597.3897,597.3996,815
2025-06-10 04:11:00,597.3298,597.3298,597.2102,597.29,5863
2025-06-10 04:12:00,597.2401,597.2401,597.0706,597.0706,17314
2025-06-10 04:13:00,597.0606,597.0606,596.7316,596.7316,1118
2025-06-10 04:14:00,596.7316,596.7316,596.5322,596.5621,643
2025-06-10 04:15:00,596.5322,596.9709,596.5322,596.9709,955
2025-06-10 04:16:00,596.9111,596.931,596.8214,596.9111,441
2025-06-10 04:17:00,597.0307,597.0307,596.8911,596.941,371
2025-06-10 04:18:00,596.8911,596.951,596.8413,596.951,882
2025-06-10 04:19:00,596.9111,596.931,596.9011,596.931,1009
2025-06-10 04:20:00,596.9809,597.1803,596.9809,597.0407,954
2025-06-10 04:21:00,596.941,597.0008,596.9011,596.9709,1522
2025-06-10 04:22:00,597.0307,597.1803,597.0307,597.1803,502
2025-06-10 04:23:00,597.1404,597.2301,597.1404,597.2301,621
2025-06-10 04:24:00,597.2601,597.28,597.0706,597.1105,2298
2025-06-10 04:25:00,597.1205,597.1404,597.1005,597.1404,16
2025-06-10 04:26:00,597.2102,597.3298,597.2002,597.2002,100
2025-06-10 04:27:00,597.2002,597.2002,597.1903,597.1903,45
2025-06-10 04:28:00,597.1504,597.1803,597.1504,597.1803,3
2025-06-10 04:29:00,597.1304,597.27,597.0008,597.2401,376
2025-06-10 04:30:00,597.28,597.4595,597.2002,597.4395,1633
2025-06-10 04:31:00,597.4495,597.4894,597.3897,597.4794,1558
2025-06-10 04:32:00,597.5093,597.5592,597.4894,597.4993,152
2025-06-10 04:33:00,597.4295,597.5193,597.3996,597.4993,373
2025-06-10 04:34:00,597.5293,597.5592,597.4794,597.5592,243
2025-06-10 04:35:00,597.5392,597.6589,597.5392,597.629,663
2025-06-10 04:36:00,597.629,597.6788,597.609,597.6788,768
2025-06-10 04:37:00,597.6489,597.7885,597.629,597.629,2628
2025-06-10 04:38:00,597.619,597.6788,597.599,597.6788,1177
2025-06-10 04:39:00,597.6489,597.7087,597.6489,597.6489,211
2025-06-10 04:40:00,597.6788,597.6988,597.619,597.6788,568
2025-06-10 04:41:00,597.6389,597.7087,597.619,597.6788,33
2025-06-10 04:42:00,597.6489,597.6489,597.4694,597.5093,599
2025-06-10 04:43:00,597.5492,597.619,597.4993,597.4993,511
2025-06-10 04:44:00,597.4794,597.6589,597.4694,597.6589,81
